number,E,n,K,YS,Pmax,Stiffness2,Slope1,Slope2,Slope3,Slope4,Slope5,30um,60um,90um,120um,150um
1,60,0.05,300,150,0.0294485,38682.35294,2010.794417,1858.221949,1511.080242,1182.325609,1084.914366,55.99700887,114.7848729,165.5446335,205.6335582,238.797604
2,60,0.05,300,262.5,0.0277284,38192.94118,2467.936715,2330.162035,1928.80298,1505.659203,1302.530356,67.60215784,140.5348496,204.7760361,256.0451811,297.3157375
3,60,0.05,300,375,0.0257734,38096.47059,2887.817842,2782.858064,2342.97291,1858.193264,1618.550007,77.84972325,164.1097139,241.4719533,304.2391436,355.4149131
4,60,0.05,300,487.5,0.0238938,37552.94118,3279.735152,3215.012374,2753.402205,2210.432415,1901.630774,87.26428173,186.0721228,276.1961503,350.4626589,411.1637767
5,60,0.05,300,600,0.0220089,37102.94118,3637.572602,3632.212083,3166.588331,2553.338608,2105.100174,95.80542482,206.3936498,309.1355175,394.9126899,463.9859468
6,60,0.05,637.5,150,0.0214058,37265.88235,3103.909221,3075.704216,2673.240966,2157.596747,1789.848831,82.56900049,176.5251942,263.368671,335.7878425,394.3034388
7,60,0.05,637.5,262.5,0.0201128,36955.29412,3484.295116,3499.366452,3067.102994,2502.834788,2121.89188,91.53085966,197.7982827,297.0194989,380.5044149,449.0228391
8,60,0.05,637.5,375,0.018918,36806.47059,3830.094441,3892.24236,3463.080616,2872.064309,2448.648541,99.89645182,217.3715969,328.5178969,423.5378883,502.5177609
9,60,0.05,637.5,487.5,0.017704,36533.52941,4154.149202,4269.113064,3844.838867,3220.541557,2735.436078,107.6398397,235.7608875,358.3942429,464.4509883,553.0186545
10,60,0.05,637.5,600,0.0165688,36197.64706,4461.801385,4640.364306,4213.437516,3556.522584,3045.12108,114.4440015,252.9595881,386.8109627,503.4659575,601.6574519
11,60,0.05,975,150,0.0163137,36399.41176,4009.210903,4133.102542,3743.354992,3162.327304,2712.378531,103.7838133,227.6055617,346.6335739,450.2940599,537.6840015
12,60,0.05,975,262.5,0.0154801,36100,4326.408401,4503.276849,4110.395127,3493.861632,2999.774765,111.1368854,245.4391626,375.6359946,489.8263524,586.4921588
13,60,0.05,975,375,0.0146285,35802.35294,4625.275539,4858.107192,4468.403234,3824.088272,3293.086912,118.0538431,262.3208288,403.3149185,527.8789128,633.8933508
14,60,0.05,975,487.5,0.0137729,35521.76471,4900.893131,5200.335872,4835.405798,4160.128993,3528.531539,124.4558967,278.0777963,429.8323208,565.0986769,679.8768538
15,60,0.05,975,600,0.0130157,35415.29412,5170.256865,5519.545171,5170.547278,4501.02318,3888.732872,130.4952494,293.0601954,454.6850977,600.0877701,725.3188263
16,60,0.05,1312.5,150,0.0129666,35455.88235,4780.559618,5079.248992,4722.435956,4081.996742,3529.807584,121.0556994,271.0564299,419.2556148,551.5663254,665.0579198
17,60,0.05,1312.5,262.5,0.012385,35317.05882,5058.523559,5405.85168,5064.527177,4414.862532,3837.170227,127.5748376,286.7374884,445.0394122,587.5257177,710.6508877
18,60,0.05,1312.5,375,0.0118341,35237.64706,5325.582194,5722.728573,5384.337561,4737.686695,4210.053515,133.4394339,301.5370358,469.4477744,621.514691,754.8991531
19,60,0.05,1312.5,487.5,0.0113332,35142.94118,5573.857631,6026.295647,5708.541608,5069.91482,4559.734589,138.9910233,315.4804517,492.8668415,654.7842207,798.3461962
20,60,0.05,1312.5,600,0.0108643,34968.23529,5812.32586,6322.741622,6016.288709,5363.675997,4835.612362,144.0775019,328.7340719,515.2733125,686.2497965,838.3393632
21,60,0.05,1650,150,0.0107653,35004.11765,5471.935726,5919.89898,5598.90375,4972.691461,4505.003538,136.1366694,309.5162629,483.6410233,642.3983173,783.5877546
22,60,0.05,1650,262.5,0.0104173,34861.76471,5702.129081,6213.564402,5929.688459,5287.30041,4723.199416,141.6143358,322.8840151,506.4750873,675.0802016,824.4959823
23,60,0.05,1650,375,0.0100766,34700,5936.150146,6505.125269,6233.418231,5593.665304,5058.502758,146.5977913,335.9094233,528.4984859,706.2340583,865.1643081
24,60,0.05,1650,487.5,0.00976111,34516.47059,6184.140527,6772.891397,6524.173719,5906.529441,5388.50051,151.4345979,348.4694256,549.4333962,736.2305827,904.8213161
25,60,0.05,1650,600,0.00948858,34238.23529,6388.624585,7047.70258,6824.773525,6181.798466,5580.738448,155.9166479,360.2440243,569.9587322,765.5299758,941.2857905
26,60,0.1625,300,150,0.0230757,38068.23529,1716.632106,1632.287336,1382.418561,1118.570196,992.286657,47.46970582,98.306738,143.751706,181.1120558,212.241566
